#SampleID	BarcodeSequence	LinkerPrimerSequence	Gene	Fragment_length _bp	Field_ID	Type_of _Wastewater	Month_Collected	Sampling_Location	Description	singles_even_1410_alpha	singles_even_1410_normalized_alpha	singles_even_1410_alpha_label	simpson_e_even_1410_alpha	simpson_e_even_1410_normalized_alpha	simpson_e_even_1410_alpha_label	observed_species_even_1410_alpha	observed_species_even_1410_normalized_alpha	observed_species_even_1410_alpha_label	goods_coverage_even_1410_alpha	goods_coverage_even_1410_normalized_alpha	goods_coverage_even_1410_alpha_label	shannon_even_1410_alpha	shannon_even_1410_normalized_alpha	shannon_even_1410_alpha_label
SKW97			amoA	349	JA06F	OWTS	June	SP1	SKW97	2.52816901408	0.0608607079195	bin_1_of_4	0.108626418884	0.153469298967	bin_1_of_4	10.338028169	0.0582118651936	bin_1_of_4	0.998206972331	0.939139292082	bin_4_of_4	0.401917982054	0.00493878854256	bin_1_of_4
SKW98			amoA	349	JA09A	OWTS	June	SP2	SKW98	0.87323943662	0.00101858925388	bin_1_of_4	0.200320763252	0.34694701103	bin_2_of_4	5.92253521127	0.0	bin_1_of_4	0.999380681251	0.998981410746	bin_4_of_4	0.464854026478	0.0225190110997	bin_1_of_4
SKW99			amoA	349	10/4/16 AN1_1	WWTP	October	AN	SKW99	2.75352112676	0.0690094219506	bin_1_of_4	0.142682453377	0.225328514288	bin_1_of_4	12.2394366197	0.083279175564	bin_1_of_4	0.998047148137	0.930990578052	bin_4_of_4	1.30772410919	0.257961892464	bin_2_of_4
SKW100			amoA	349	10/4/16 AER1_1	WWTP	October	AER	SKW100	5.70422535211	0.175706646295	bin_1_of_4	0.105316411403	0.146485087685	bin_1_of_4	15.3661971831	0.12450097484	bin_1_of_4	0.995954450105	0.8242933537	bin_4_of_4	1.20888293733	0.230352121067	bin_1_of_4
SKW101			amoA	349	JA01A	OWTS	June	SP1	SKW101	9.97887323944	0.330277565572	bin_2_of_4	0.0803672310226	0.0938415972817	bin_1_of_4	30.5633802817	0.324853774023	bin_2_of_4	0.992922784937	0.669722434423	bin_3_of_4	1.85961124098	0.412123131735	bin_2_of_4
SKW102			amoA	349	JA01A	OWTS	June	SP2	SKW102	2.95774647887	0.0763941940413	bin_1_of_4	0.135349470024	0.209855707852	bin_1_of_4	17.2253521127	0.149011233869	bin_1_of_4	0.997902307462	0.923605805958	bin_4_of_4	1.85761114481	0.411564435425	bin_2_of_4
SKW103			amoA	349	JA02A	OWTS	June	SP1	SKW103	1.38732394366	0.0196078431373	bin_1_of_4	0.252382090383	0.456797913282	bin_2_of_4	16.5422535211	0.140005570513	bin_1_of_4	0.99901608231	0.980392156866	bin_4_of_4	2.61920665964	0.624304507855	bin_3_of_4
SKW104			amoA	349	JA02A	OWTS	June	SP2	SKW104	1.61267605634	0.0277565571683	bin_1_of_4	0.232509336113	0.41486582843	bin_2_of_4	9.37323943662	0.0454925262278	bin_1_of_4	0.998856258116	0.972243442834	bin_4_of_4	1.67890204286	0.361644777873	bin_2_of_4
SKW105			amoA	349	JA04S	OWTS	June	SP1	SKW105	4.88028169014	0.145912910619	bin_1_of_4	0.207456469493	0.362003557068	bin_2_of_4	21.2253521127	0.201745427537	bin_1_of_4	0.996538807312	0.854087089374	bin_4_of_4	2.60073174579	0.619143822907	bin_3_of_4
SKW106			amoA	349	JA04S	OWTS	June	SP2	SKW106	3.92253521127	0.111280875987	bin_1_of_4	0.100418442098	0.136150231143	bin_1_of_4	16.3450704225	0.137405997586	bin_1_of_4	0.997218060134	0.888719124009	bin_4_of_4	1.33685505088	0.266099176002	bin_2_of_4
