Length	Count
125.0	318
135.0	116
145.0	130
155.0	290
165.0	2475
175.0	66
185.0	72
195.0	325
205.0	82
215.0	7
225.0	16
235.0	6
245.0	39
255.0	30
265.0	10
275.0	8
285.0	33
295.0	50
305.0	7
315.0	10
325.0	43
335.0	14
345.0	13240
355.0	30
365.0	11
375.0	27
385.0	2
395.0	10
405.0	10
415.0	5
425.0	0
435.0	0
445.0	6
455.0	3
465.0	5
475.0	2
485.0	1
495.0	4
505.0	0
--

Length	Count
264.0	240
274.0	205
284.0	106
294.0	989
304.0	62
314.0	28
324.0	2458
334.0	149
344.0	30651
354.0	79
364.0	28
374.0	5
384.0	7
394.0	19
404.0	95
414.0	257
424.0	25
434.0	6
444.0	0
454.0	3
464.0	0
474.0	3
484.0	51
494.0	26
504.0	0
--

Length	Count
270.0	19
280.0	7
290.0	902
300.0	58
310.0	0
320.0	77
330.0	2
340.0	60627
350.0	82
360.0	14
370.0	61
380.0	10
390.0	1
400.0	0
410.0	0
420.0	39
430.0	0
440.0	0
450.0	2
460.0	0
470.0	11
480.0	0
490.0	6
500.0	0
--

Length	Count
269.0	54
279.0	26
289.0	7
299.0	3
309.0	8
319.0	20
329.0	1
339.0	3064
349.0	40526
359.0	16
369.0	0
379.0	16
389.0	2
399.0	0
409.0	0
419.0	0
429.0	0
439.0	0
449.0	0
459.0	0
469.0	0
479.0	0
489.0	14
499.0	0
--

Length	Count
36.0	22657
46.0	6018
56.0	1663
66.0	875
76.0	1169
86.0	2260
96.0	1932
106.0	616
116.0	1216
126.0	1507
136.0	545
146.0	1958
156.0	525
166.0	227
176.0	1872
186.0	161
196.0	1011
206.0	176
216.0	99
226.0	44
236.0	1
246.0	2
256.0	353
266.0	294
276.0	171
286.0	18
296.0	7833
306.0	12
316.0	7
326.0	3574
336.0	63
346.0	28553
356.0	2
366.0	1
376.0	1
386.0	58
396.0	0
406.0	67
416.0	0
426.0	2
436.0	0
446.0	0
456.0	0
466.0	0
476.0	0
486.0	14
496.0	21
--

Length	Count
247.0	11
257.0	255
267.0	370
277.0	243
287.0	58
297.0	25268
307.0	31
317.0	314
327.0	23686
337.0	146
347.0	15845
357.0	15
367.0	81
377.0	17
387.0	24
397.0	0
407.0	0
417.0	35
427.0	0
437.0	0
447.0	4
457.0	9
467.0	2
477.0	1
487.0	189
497.0	0
--

Length	Count
291.0	31
301.0	1993
311.0	20
321.0	2066
331.0	0
341.0	39016
351.0	4
361.0	3
371.0	0
381.0	0
391.0	0
401.0	10
411.0	8
421.0	0
431.0	0
441.0	0
451.0	2
461.0	0
471.0	1
481.0	0
491.0	18
501.0	0
--

Length	Count
304.0	3
314.0	0
324.0	0
334.0	0
344.0	15674
354.0	1
364.0	0
374.0	0
384.0	0
394.0	0
404.0	0
414.0	0
424.0	0
434.0	0
444.0	0
454.0	1
464.0	0
474.0	0
484.0	1
494.0	7
--

Length	Count
35.0	14090
45.0	2056
55.0	2236
65.0	248
75.0	1320
85.0	492
95.0	2651
105.0	3293
115.0	1172
125.0	557
135.0	3508
145.0	2304
155.0	269
165.0	1140
175.0	839
185.0	2102
195.0	3192
205.0	5575
215.0	6
225.0	188
235.0	960
245.0	235
255.0	100
265.0	0
275.0	0
285.0	143
295.0	1564
305.0	4
315.0	0
325.0	4
335.0	10
345.0	40620
355.0	55
365.0	0
375.0	0
385.0	1
395.0	50
405.0	3
415.0	1
425.0	0
435.0	0
445.0	7
455.0	0
465.0	1
475.0	0
485.0	9
495.0	8
505.0	0
--

Length	Count
263.0	56
273.0	79
283.0	466
293.0	1
303.0	22
313.0	1
323.0	26
333.0	1
343.0	30241
353.0	85
363.0	11
373.0	324
383.0	2
393.0	3
403.0	1
413.0	20
423.0	29
433.0	9
443.0	2
453.0	25
463.0	74
473.0	0
483.0	3
493.0	33
503.0	0
--

Length	Count
263.0	21
273.0	6
283.0	65
293.0	20
303.0	94
313.0	8
323.0	10
333.0	8
343.0	25638
353.0	7
363.0	1
373.0	24
383.0	2
393.0	0
403.0	39
413.0	9
423.0	2
433.0	1
443.0	5
453.0	6
463.0	0
473.0	0
483.0	0
493.0	6
503.0	0
--

Length	Count
269.0	15
279.0	583
289.0	334
299.0	1922
309.0	95
319.0	700
329.0	160
339.0	1164
349.0	14336
359.0	6
369.0	1
379.0	0
389.0	38
399.0	0
409.0	0
419.0	7
429.0	0
439.0	0
449.0	140
459.0	0
469.0	2
479.0	1
489.0	24
499.0	0
--

Length	Count
104.0	738
114.0	496
124.0	1351
134.0	541
144.0	385
154.0	546
164.0	502
174.0	107
184.0	242
194.0	64
204.0	266
214.0	33
224.0	57
234.0	4
244.0	1515
254.0	121
264.0	90
274.0	28
284.0	61
294.0	79
304.0	34
314.0	2
324.0	34
334.0	4
344.0	56317
354.0	8
364.0	0
374.0	4
384.0	9
394.0	0
404.0	11
414.0	8
424.0	2
434.0	0
444.0	1
454.0	7
464.0	0
474.0	4
484.0	5
494.0	5
504.0	0
--

Length	Count
263.0	160
273.0	251
283.0	358
293.0	50
303.0	120
313.0	59
323.0	22
333.0	6
343.0	38746
353.0	8
363.0	59
373.0	29
383.0	20
393.0	2
403.0	0
413.0	0
423.0	12
433.0	4
443.0	0
453.0	3
463.0	0
473.0	0
483.0	1
493.0	2
503.0	0
--

Length	Count
263.0	6
273.0	35
283.0	2
293.0	34
303.0	13
313.0	1
323.0	9
333.0	0
343.0	36861
353.0	9
363.0	8
373.0	0
383.0	0
393.0	0
403.0	5
413.0	1
423.0	1
433.0	2
443.0	1
453.0	2
463.0	0
473.0	0
483.0	1
493.0	2
503.0	0
--

Length	Count
264.0	24
274.0	1
284.0	4
294.0	30
304.0	1
314.0	0
324.0	11
334.0	3
344.0	22054
354.0	3
364.0	55
374.0	20
384.0	0
394.0	210
404.0	0
414.0	0
424.0	0
434.0	56
444.0	0
454.0	3
464.0	0
474.0	3
484.0	31
494.0	9
504.0	0
--

Length	Count
117.0	109
127.0	762
137.0	25
147.0	1637
157.0	254
167.0	284
177.0	749
187.0	239
197.0	115
207.0	5
217.0	120
227.0	5
237.0	0
247.0	83
257.0	435
267.0	251
277.0	168
287.0	162
297.0	297
307.0	7
317.0	18
327.0	161
337.0	291
347.0	27329
357.0	173
367.0	32
377.0	128
387.0	75
397.0	2
407.0	8
417.0	15
427.0	1
437.0	0
447.0	5
457.0	0
467.0	0
477.0	0
487.0	12
497.0	0
--

Length	Count
266.0	299
276.0	181
286.0	311
296.0	26
306.0	24
316.0	102
326.0	205
336.0	28
346.0	21786
356.0	76
366.0	4
376.0	3
386.0	20
396.0	39
406.0	10
416.0	22
426.0	2
436.0	4
446.0	8
456.0	11
466.0	3
476.0	0
486.0	32
496.0	0
--

Length	Count
270.0	2
280.0	189
290.0	1
300.0	0
310.0	0
320.0	1
330.0	1
340.0	17668
350.0	401
360.0	5
370.0	0
380.0	39
390.0	8
400.0	0
410.0	32
420.0	98
430.0	0
440.0	1
450.0	3
460.0	0
470.0	0
480.0	0
490.0	13
500.0	0
--

Length	Count
263.0	1811
273.0	0
283.0	1
293.0	63
303.0	0
313.0	0
323.0	0
333.0	0
343.0	35341
353.0	24
363.0	0
373.0	0
383.0	0
393.0	0
403.0	0
413.0	42
423.0	0
433.0	0
443.0	16
453.0	1
463.0	0
473.0	0
483.0	1
493.0	16
503.0	0
--

Length	Count
269.0	21
279.0	124
289.0	0
299.0	143
309.0	0
319.0	3
329.0	4
339.0	2753
349.0	37434
359.0	7
369.0	0
379.0	0
389.0	6
399.0	163
409.0	0
419.0	3
429.0	1
439.0	53
449.0	2
459.0	79
469.0	8
479.0	1
489.0	11
499.0	0
--

Length	Count
263.0	6982
273.0	15
283.0	528
293.0	14
303.0	98
313.0	2
323.0	235
333.0	2
343.0	14511
353.0	7
363.0	14
373.0	0
383.0	2
393.0	7
403.0	21
413.0	31
423.0	1
433.0	0
443.0	1
453.0	0
463.0	0
473.0	3
483.0	4
493.0	18
503.0	0
--

Length	Count
286.0	4244
296.0	4795
306.0	26
316.0	9
326.0	2086
336.0	17
346.0	29404
356.0	1
366.0	19
376.0	240
386.0	279
396.0	1
406.0	0
416.0	0
426.0	2
436.0	1
446.0	3
456.0	0
466.0	0
476.0	0
486.0	12
496.0	0
--

Length	Count
35.0	597
45.0	31
55.0	50
65.0	29
75.0	11
85.0	16
95.0	60
105.0	39
115.0	15
125.0	91
135.0	81
145.0	103
155.0	23
165.0	57
175.0	9
185.0	118
195.0	0
205.0	3
215.0	6
225.0	0
235.0	0
245.0	1
255.0	0
265.0	0
275.0	0
285.0	0
295.0	50
305.0	0
315.0	0
325.0	0
335.0	68
345.0	15606
355.0	1
365.0	0
375.0	0
385.0	0
395.0	0
405.0	13
415.0	1
425.0	0
435.0	0
445.0	2
455.0	0
465.0	0
475.0	0
485.0	4
495.0	1
--

Length	Count
35.0	6325
45.0	571
55.0	989
65.0	617
75.0	747
85.0	907
95.0	1072
105.0	797
115.0	1172
125.0	906
135.0	865
145.0	840
155.0	602
165.0	588
175.0	589
185.0	515
195.0	126
205.0	88
215.0	145
225.0	104
235.0	67
245.0	122
255.0	218
265.0	197
275.0	187
285.0	103
295.0	105
305.0	99
315.0	93
325.0	218
335.0	62
345.0	14849
355.0	13
365.0	10
375.0	27
385.0	8
395.0	23
405.0	17
415.0	6
425.0	4
435.0	5
445.0	3
455.0	0
465.0	10
475.0	2
485.0	5
495.0	6
505.0	0
--

Length	Count
265.0	62
275.0	4
285.0	8
295.0	40
305.0	3
315.0	8
325.0	0
335.0	56
345.0	54768
355.0	4
365.0	284
375.0	3
385.0	12
395.0	4
405.0	2
415.0	13
425.0	0
435.0	0
445.0	5
455.0	0
465.0	0
475.0	1
485.0	6
495.0	1
--

Length	Count
268.0	158
278.0	28
288.0	4028
298.0	3197
308.0	68
318.0	303
328.0	3355
338.0	611
348.0	54444
358.0	20
368.0	3
378.0	1
388.0	2
398.0	0
408.0	1
418.0	59
428.0	0
438.0	0
448.0	1
458.0	0
468.0	0
478.0	0
488.0	48
498.0	0
--

Length	Count
35.0	39508
45.0	4219
55.0	2538
65.0	994
75.0	1081
85.0	1017
95.0	1140
105.0	1101
115.0	283
125.0	525
135.0	887
145.0	1144
155.0	260
165.0	71
175.0	305
185.0	18
195.0	288
205.0	6
215.0	13
225.0	1
235.0	137
245.0	110
255.0	176
265.0	134
275.0	9
285.0	142
295.0	2309
305.0	11
315.0	41
325.0	3176
335.0	8
345.0	28968
355.0	13
365.0	4
375.0	50
385.0	2
395.0	91
405.0	13
415.0	0
425.0	4
435.0	8
445.0	5
455.0	0
465.0	1
475.0	1
485.0	6
495.0	22
505.0	0
--

Length	Count
80.0	168
90.0	626
100.0	335
110.0	476
120.0	3000
130.0	964
140.0	3131
150.0	391
160.0	1549
170.0	1024
180.0	452
190.0	871
200.0	2354
210.0	582
220.0	82
230.0	96
240.0	526
250.0	2552
260.0	488
270.0	1015
280.0	128
290.0	285
300.0	187
310.0	758
320.0	257
330.0	263
340.0	13265
350.0	720
360.0	76
370.0	306
380.0	255
390.0	35
400.0	49
410.0	232
420.0	17
430.0	38
440.0	4
450.0	12
460.0	45
470.0	5
480.0	86
490.0	28
500.0	0
--

Length	Count
282.0	1
292.0	8
302.0	22
312.0	2
322.0	5
332.0	2
342.0	16841
352.0	18
362.0	121
372.0	0
382.0	0
392.0	1
402.0	0
412.0	1
422.0	2
432.0	0
442.0	0
452.0	11
462.0	1
472.0	0
482.0	1
492.0	4
502.0	0
--

Length	Count
81.0	33
91.0	11
101.0	370
111.0	156
121.0	0
131.0	214
141.0	368
151.0	252
161.0	854
171.0	205
181.0	1
191.0	97
201.0	571
211.0	0
221.0	0
231.0	9
241.0	0
251.0	2
261.0	0
271.0	138
281.0	27
291.0	328
301.0	0
311.0	16
321.0	61
331.0	0
341.0	21846
351.0	6
361.0	13
371.0	41
381.0	0
391.0	0
401.0	0
411.0	0
421.0	5
431.0	1
441.0	1
451.0	4
461.0	3
471.0	0
481.0	0
491.0	28
501.0	0
--

Length	Count
304.0	3
314.0	0
324.0	0
334.0	0
344.0	1432
354.0	0
364.0	0
374.0	0
384.0	0
394.0	0
404.0	0
414.0	0
424.0	0
434.0	0
444.0	0
454.0	0
464.0	0
474.0	0
484.0	2
494.0	1
--

Length	Count
149.0	1166
159.0	2549
169.0	313
179.0	52
189.0	833
199.0	940
209.0	88
219.0	1
229.0	35
239.0	1
249.0	278
259.0	10
269.0	226
279.0	129
289.0	0
299.0	3
309.0	3
319.0	28
329.0	191
339.0	1773
349.0	21580
359.0	3
369.0	5
379.0	0
389.0	18
399.0	0
409.0	2
419.0	3
429.0	2
439.0	0
449.0	4
459.0	1
469.0	174
479.0	8
489.0	37
499.0	0
--

Length	Count
42.0	15110
52.0	7450
62.0	959
72.0	790
82.0	1493
92.0	1876
102.0	890
112.0	213
122.0	1005
132.0	575
142.0	552
152.0	1480
162.0	118
172.0	211
182.0	249
192.0	195
202.0	107
212.0	38
222.0	13
232.0	3
242.0	9
252.0	12
262.0	38
272.0	0
282.0	366
292.0	19
302.0	4106
312.0	0
322.0	4657
332.0	3
342.0	18363
352.0	2
362.0	1
372.0	0
382.0	0
392.0	10
402.0	0
412.0	0
422.0	0
432.0	6
442.0	0
452.0	0
462.0	5
472.0	0
482.0	2
492.0	28
502.0	0
--

Length	Count
263.0	14
273.0	3
283.0	4
293.0	2
303.0	11
313.0	0
323.0	62
333.0	6
343.0	63130
353.0	3
363.0	0
373.0	1
383.0	1
393.0	0
403.0	0
413.0	0
423.0	2
433.0	0
443.0	0
453.0	3
463.0	1
473.0	0
483.0	1
493.0	8
503.0	0
--

Length	Count
35.0	12161
45.0	1012
55.0	891
65.0	590
75.0	296
85.0	491
95.0	181
105.0	516
115.0	145
125.0	323
135.0	1998
145.0	1130
155.0	675
165.0	506
175.0	368
185.0	484
195.0	231
205.0	333
215.0	341
225.0	15
235.0	19
245.0	433
255.0	213
265.0	1814
275.0	10
285.0	266
295.0	140
305.0	171
315.0	0
325.0	127
335.0	119
345.0	47715
355.0	5
365.0	332
375.0	25
385.0	232
395.0	124
405.0	2
415.0	28
425.0	280
435.0	220
445.0	4
455.0	1
465.0	9
475.0	4
485.0	45
495.0	12
505.0	0
--

Length	Count
269.0	18
279.0	14
289.0	966
299.0	4203
309.0	1
319.0	2
329.0	3
339.0	706
349.0	9151
359.0	3
369.0	199
379.0	6
389.0	3
399.0	2
409.0	0
419.0	3
429.0	0
439.0	0
449.0	2
459.0	1
469.0	0
479.0	1
489.0	22
499.0	0
--

Length	Count
204.0	87
214.0	7
224.0	1
234.0	7
