#SampleID	BarcodeSequence	LinkerPrimerSequence	Gene	Fragment_length _bp	Field_ID	Type_of _Wastewater	Month_Collected	Sampling_Location	Description	singles_even_2010_alpha	singles_even_2010_normalized_alpha	singles_even_2010_alpha_label	simpson_e_even_2010_alpha	simpson_e_even_2010_normalized_alpha	simpson_e_even_2010_alpha_label	observed_species_even_2010_alpha	observed_species_even_2010_normalized_alpha	observed_species_even_2010_alpha_label	goods_coverage_even_2010_alpha	goods_coverage_even_2010_normalized_alpha	goods_coverage_even_2010_alpha_label	shannon_even_2010_alpha	shannon_even_2010_normalized_alpha	shannon_even_2010_alpha_label
SKW1			nosZ	417	JA06F	OWTS	June	SP1	Missing Sample	7.14564102564	0.0142264568849	bin_1_of_4	0.0745361003895	0.27892123652	bin_2_of_4	15.4205128205	0.0231682115325	bin_1_of_4	0.996444954714	0.985773543115	bin_4_of_4	0.428722632774	0.0617279538896	bin_1_of_4
SKW2			nosZ	417	JA09A	OWTS	June	SP2	Missing Sample	16.1856410256	0.0719841680701	bin_1_of_4	0.0654281019753	0.234012621756	bin_1_of_4	36.2717948718	0.0879029202263	bin_1_of_4	0.991947442276	0.928015831929	bin_4_of_4	1.8244007688	0.294063657507	bin_2_of_4
SKW3			nosZ	417	10/4/16 AN1_1	WWTP	October	AN	Missing Sample	26.3261538462	0.136773195809	bin_1_of_4	0.0562818666883	0.188915473253	bin_1_of_4	75.2430769231	0.20889282314	bin_1_of_4	0.986902411022	0.863226804191	bin_4_of_4	3.19015555241	0.521418081445	bin_3_of_4
SKW4			nosZ	417	10/4/16 AER1_1	WWTP	October	AER	Missing Sample	27.7805128205	0.146065280499	bin_1_of_4	0.0643151586482	0.228525055678	bin_1_of_4	77.3128205128	0.215318531067	bin_1_of_4	0.986178849343	0.8539347195	bin_4_of_4	3.29384774167	0.538679509512	bin_3_of_4
SKW5			nosZ	417	JA01A	OWTS	June	SP1	Missing Sample	33.3671794872	0.181759205258	bin_1_of_4	0.0788502474721	0.300192910115	bin_2_of_4	101.756923077	0.29120747904	bin_2_of_4	0.98339941319	0.818240794741	bin_4_of_4	4.18106340666	0.686372498652	bin_3_of_4
SKW6			nosZ	417	JA01A	OWTS	June	SP2	Missing Sample	58.7261538462	0.343780921738	bin_2_of_4	0.111516258367	0.461258517777	bin_2_of_4	141.315897436	0.414021926375	bin_2_of_4	0.970783008037	0.656219078262	bin_3_of_4	4.94980114423	0.814342707932	bin_4_of_4
SKW7			nosZ	417	JA02A	OWTS	June	SP1	Missing Sample	19.6923076923	0.0943887079546	bin_1_of_4	0.0801323474538	0.306514533324	bin_2_of_4	60.1805128205	0.162129717785	bin_1_of_4	0.990202831994	0.905611292045	bin_4_of_4	3.04455229931	0.497179803732	bin_2_of_4
SKW8			nosZ	417	JA02A	OWTS	June	SP2	Missing Sample	41.9876923077	0.236836759435	bin_1_of_4	0.021346193485	0.0166588897454	bin_1_of_4	94.0471794872	0.267271876224	bin_2_of_4	0.979110600842	0.763163240565	bin_4_of_4	2.32203423554	0.376903689642	bin_2_of_4
SKW9			nosZ	417	JA04S	OWTS	June	SP1	Missing Sample	44.1558974359	0.250689698106	bin_2_of_4	0.030901825763	0.063774643316	bin_1_of_4	95.3107692308	0.271194805939	bin_2_of_4	0.978031891823	0.749310301894	bin_3_of_4	2.98498576046	0.487263883035	bin_2_of_4
SKW10			nosZ	417	JA04S	OWTS	June	SP2	SKW10	13.9682051282	0.0578166877453	bin_1_of_4	0.044229121052	0.129487255765	bin_1_of_4	25.3743589744	0.0540708356286	bin_1_of_4	0.993050644215	0.942183312254	bin_4_of_4	0.440211291434	0.0636404475546	bin_1_of_4
SKW11			nosZ	417	JA05F	OWTS	June	SP1	SKW11	34.0748717949	0.186280741532	bin_1_of_4	0.103565802498	0.42205737351	bin_2_of_4	112.566153846	0.324765722765	bin_2_of_4	0.983047327465	0.813719258467	bin_4_of_4	4.57968724359	0.752730598876	bin_4_of_4
SKW12			nosZ	417	JA05F	OWTS	June	SP2	SKW12	18.7723076923	0.0885107107986	bin_1_of_4	0.092081751823	0.365433208216	bin_2_of_4	37.9384615385	0.0930772390472	bin_1_of_4	0.990660543437	0.911489289201	bin_4_of_4	2.29674054928	0.372693101081	bin_2_of_4
SKW13			nosZ	417	JA06F	OWTS	June	SP1	SKW13	87.0564102564	0.524786537617	bin_3_of_4	0.0425771671043	0.121342001444	bin_1_of_4	156.397948718	0.460845531458	bin_2_of_4	0.956688353106	0.475213462383	bin_2_of_4	4.20545727777	0.690433296813	bin_3_of_4
SKW14			nosZ	417	JA06F	OWTS	June	SP2	SKW14	51.8994871795	0.300164479073	bin_2_of_4	0.115031010719	0.478588632716	bin_2_of_4	140.611282051	0.411834383587	bin_2_of_4	0.974179359612	0.699835520927	bin_3_of_4	4.92432201771	0.810101249508	bin_4_of_4
SKW15			nosZ	417	JA07S	OWTS	June	SP1	SKW15	98.4164102564	0.597367024239	bin_3_of_4	0.0179675735436	0.0	bin_1_of_4	187.997948718	0.558950616301	bin_3_of_4	0.951036611813	0.40263297576	bin_2_of_4	3.80126510061	0.623148246303	bin_3_of_4
SKW16			nosZ	417	JA07S	OWTS	June	SP2	SKW16	25.5117948718	0.131570152618	bin_1_of_4	0.0620587620655	0.217399488866	bin_1_of_4	93.6358974359	0.265995013549	bin_2_of_4	0.98730756474	0.868429847381	bin_4_of_4	4.06403771643	0.666891469767	bin_3_of_4
SKW17			nosZ	417	JA09A	OWTS	October	SP1	SKW17	62.6902564103	0.369108077823	bin_2_of_4	0.0923678505441	0.366843869117	bin_2_of_4	125.442051282	0.364740121827	bin_2_of_4	0.968810817706	0.630891922178	bin_3_of_4	4.40880510815	0.724284196982	bin_3_of_4
SKW18			nosZ	417	JA11F	OWTS	June	SP1	SKW18	21.1035897436	0.103405568698	bin_1_of_4	0.0284269742886	0.0515719455983	bin_1_of_4	49.0625641026	0.127613031005	bin_1_of_4	0.98950070162	0.896594431302	bin_4_of_4	1.25486003428	0.199253368602	bin_1_of_4
SKW19			nosZ	417	JA11F	OWTS	June	SP2	SKW19	54.96	0.31971848522	bin_2_of_4	0.0837644659703	0.324423343122	bin_2_of_4	115.181538462	0.332885423068	bin_2_of_4	0.972656716418	0.68028151478	bin_3_of_4	4.25397148386	0.698509358131	bin_3_of_4
SKW20			nosZ	417	JA12S	OWTS	June	SP1	SKW20	22.6441025641	0.113248101282	bin_1_of_4	0.0351446379572	0.0846945874884	bin_1_of_4	42.8553846154	0.108342275618	bin_1_of_4	0.988734277331	0.886751898717	bin_4_of_4	1.27785619676	0.203081493049	bin_1_of_4
SKW21			nosZ	417	JA12S	OWTS	June	SP2	SKW21	27.9517948718	0.147159623336	bin_1_of_4	0.0632165239984	0.223108041093	bin_1_of_4	95.401025641	0.271475015205	bin_2_of_4	0.986093634392	0.852840376663	bin_4_of_4	3.84228832081	0.629977298421	bin_3_of_4
SKW22			nosZ	417	JA01A	OWTS	October	SP1	SKW22	22.5825641026	0.112854924215	bin_1_of_4	0.0465751935338	0.141054985634	bin_1_of_4	71.0820512821	0.195974539167	bin_1_of_4	0.988764893481	0.887145075784	bin_4_of_4	2.76285799637	0.450286725457	bin_2_of_4
SKW23			nosZ	417	JA02A	OWTS	October	SP1	SKW23	39.7835897436	0.222754467474	bin_1_of_4	0.0518441123566	0.167034332014	bin_1_of_4	97.598974359	0.278298747656	bin_2_of_4	0.980207169282	0.777245532525	bin_4_of_4	3.49567771918	0.572277735798	bin_3_of_4
SKW24			nosZ	417	JA04S	OWTS	October	SP1	SKW24	4.91897435897	0.0	bin_1_of_4	0.13548155328	0.579423689531	bin_3_of_4	7.95794871795	0.0	bin_1_of_4	0.997552749075	1.0	bin_4_of_4	0.0579128334875	0.0	bin_1_of_4
SKW25			nosZ	417	JA05F	OWTS	October	SP1	SKW25	13.118974359	0.0523908442167	bin_1_of_4	0.0859038557392	0.334971986918	bin_2_of_4	46.4482051282	0.119496514897	bin_1_of_4	0.993473147085	0.947609155782	bin_4_of_4	2.73665865517	0.445925374359	bin_2_of_4
