	SKW26	SKW59	SKW40	SKW81	SKW39	SKW38	SKW94	SKW54	SKW47	SKW63	SKW91	SKW50	SKW61	SKW67	SKW13	SKW71	SKW62	SKW48	SKW70	SKW44	SKW45	SKW29	SKW58	SKW41	SKW19	SKW14	SKW46	SKW68	SKW69	SKW32	SKW16	SKW66	SKW22	SKW89	SKW43	SKW64	SKW76	SKW53	SKW92	SKW12	SKW84	SKW60	SKW56	SKW51	SKW7	SKW52	SKW95	SKW87	SKW85	SKW33	SKW79	SKW82	SKW80	SKW3	SKW83	SKW4	SKW57	SKW21	SKW30	SKW72	SKW74	SKW73	SKW77	SKW2	SKW27	SKW78	SKW28	SKW23	SKW17	SKW18	SKW35	SKW24	SKW90	SKW65	SKW8	SKW10	SKW93	SKW88	SKW11	SKW6	SKW86	SKW9	SKW15	SKW96	SKW34	SKW37	SKW5	SKW42	SKW55	SKW49	SKW36	SKW20	SKW25	SKW75	SKW1
SKW26	0.0	0.8715	0.685	0.837	0.795	0.767	0.751	0.876	0.8145	0.924	0.7235	0.8445	0.7615	0.856	0.776	0.851	0.753	0.8885	0.797	0.8625	0.7675	0.7305	0.847	0.7725	0.8395	0.7225	0.857	0.804	0.8215	0.861	0.8695	0.9015	0.835	0.847	0.6925	0.933	0.917	0.854	0.851	0.6805	0.845	0.91	0.8215	0.8885	0.814	0.884	0.726	0.7775	0.7685	0.9245	0.8345	0.8745	0.829	0.7945	0.818	0.8485	0.772	0.7615	0.829	0.8265	0.7955	0.855	0.829	0.64	0.8175	0.8355	0.724	0.93	0.7315	0.9415	0.88	0.897	0.7925	0.8775	0.85	0.8855	0.7695	0.6965	0.677	0.8575	0.771	0.879	0.754	0.7395	0.8765	0.944	0.922	0.798	0.905	0.9065	0.9505	0.88	0.4235	0.7845	0.886
SKW59	0.8715	0.0	0.8465	0.8975	0.888	0.867	0.9015	0.7155	0.8745	0.879	0.857	0.7685	0.852	0.878	0.8115	0.8785	0.868	0.936	0.866	0.898	0.77	0.904	0.899	0.845	0.9085	0.8495	0.87	0.8075	0.7795	0.918	0.8425	0.882	0.88	0.902	0.8805	0.9365	0.87	0.9045	0.879	0.903	0.8705	0.662	0.811	0.8655	0.8695	0.9025	0.8675	0.8925	0.8715	0.938	0.891	0.8785	0.864	0.9325	0.8525	0.928	0.8235	0.87	0.886	0.8315	0.8605	0.8785	0.852	0.9215	0.827	0.8735	0.9355	0.94	0.848	0.9585	0.929	0.944	0.8785	0.9275	0.9125	0.919	0.8905	0.8545	0.897	0.876	0.878	0.8455	0.902	0.9175	0.9255	0.8955	0.8195	0.776	0.7865	0.8665	0.889	0.9185	0.8945	0.8365	0.933
SKW40	0.685	0.8465	0.0	0.88	0.42	0.412	0.8975	0.859	0.722	0.923	0.8545	0.777	0.4995	0.486	0.538	0.463	0.474	0.5005	0.4475	0.459	0.6165	0.359	0.524	0.669	0.801	0.8175	0.798	0.5145	0.703	0.6895	0.8555	0.863	0.4395	0.8705	0.905	0.951	0.8825	0.6905	0.8785	0.7865	0.8675	0.91	0.702	0.865	0.641	0.8305	0.869	0.8825	0.88	0.874	0.877	0.8845	0.8615	0.8895	0.8455	0.8955	0.636	0.6645	0.448	0.7345	0.523	0.468	0.5895	0.655	0.7335	0.769	0.4485	0.9165	0.729	0.895	0.49	0.5105	0.8715	0.9305	0.4315	0.502	0.895	0.7905	0.763	0.8835	0.884	0.8635	0.8995	0.866	0.427	0.9375	0.9095	0.7675	0.915	0.8725	0.9335	0.4335	0.533	0.7205	0.4975
SKW81	0.837	0.8975	0.88	0.0	0.881	0.88	0.5675	0.8965	0.9395	0.918	0.529	0.903	0.9405	0.9615	0.8255	0.9455	0.946	0.98	0.8875	0.9575	0.8415	0.8725	0.955	0.848	0.807	0.8525	0.9545	0.845	0.8195	0.964	0.861	0.762	0.925	0.5465	0.882	0.936	0.728	0.9505	0.438	0.8515	0.3825	0.9335	0.8765	0.8685	0.945	0.86	0.5725	0.547	0.5325	0.9355	0.311	0.31	0.4385	0.5895	0.415	0.545	0.772	0.8905	0.9065	0.925	0.9	0.926	0.9045	0.904	0.8685	0.844	0.9065	0.8025	0.7335	0.9565	0.9735	0.9835	0.537	0.9075	0.8725	0.964	0.5585	0.481	0.901	0.719	0.55	0.811	0.7555	0.711	0.9725	0.9275	0.9195	0.8475	0.864	0.9345	0.93	0.9735	0.869	0.812	0.9745
SKW39	0.795	0.888	0.42	0.881	0.0	0.3305	0.9115	0.9185	0.8115	0.9275	0.87	0.8545	0.5705	0.4695	0.5345	0.5285	0.54	0.486	0.508	0.475	0.7115	0.4055	0.5585	0.9095	0.863	0.8195	0.8865	0.582	0.764	0.768	0.882	0.905	0.459	0.8815	0.8975	0.979	0.948	0.756	0.886	0.7785	0.8895	0.9205	0.7315	0.9125	0.697	0.889	0.889	0.8965	0.8895	0.952	0.898	0.91	0.9045	0.914	0.8755	0.913	0.689	0.701	0.4745	0.799	0.487	0.5025	0.6055	0.687	0.8045	0.8405	0.432	0.9365	0.7435	0.978	0.481	0.4895	0.8945	0.9205	0.4545	0.4825	0.9075	0.8005	0.86	0.899	0.899	0.879	0.9225	0.8705	0.4635	0.9675	0.928	0.8105	0.9235	0.958	0.961	0.4735	0.604	0.7815	0.4715
SKW38	0.767	0.867	0.412	0.88	0.3305	0.0	0.87	0.93	0.8255	0.9285	0.826	0.853	0.5535	0.263	0.555	0.5275	0.524	0.2835	0.5235	0.282	0.7175	0.3245	0.5655	0.9095	0.894	0.8375	0.891	0.594	0.754	0.785	0.8755	0.918	0.469	0.898	0.934	0.9775	0.9615	0.7595	0.8595	0.7275	0.889	0.9255	0.719	0.9295	0.6925	0.89	0.846	0.857	0.8505	0.953	0.8725	0.9155	0.8905	0.869	0.8695	0.879	0.693	0.7225	0.3275	0.8	0.553	0.505	0.599	0.644	0.812	0.8585	0.1825	0.9455	0.7035	0.978	0.278	0.286	0.8495	0.9275	0.2805	0.2755	0.868	0.757	0.881	0.9075	0.851	0.875	0.8825	0.826	0.337	0.9695	0.923	0.8205	0.967	0.972	0.961	0.274	0.5675	0.8005	0.264
SKW94	0.751	0.9015	0.8975	0.5675	0.9115	0.87	0.0	0.9085	0.9405	0.9355	0.2395	0.9495	0.942	0.977	0.916	0.958	0.959	0.9935	0.9245	0.971	0.871	0.854	0.9675	0.9215	0.9665	0.892	0.961	0.869	0.8355	0.976	0.8585	0.93	0.942	0.643	0.929	0.946	0.9335	0.9645	0.449	0.688	0.4435	0.952	0.8945	0.9175	0.953	0.968	0.3035	0.1525	0.271	0.9605	0.448	0.583	0.5175	0.526	0.477	0.571	0.849	0.925	0.9815	0.9465	0.9135	0.942	0.935	0.768	0.9405	0.885	0.826	0.9465	0.866	0.965	0.9875	0.9995	0.289	0.9615	0.9775	0.9785	0.22	0.4365	0.938	0.8135	0.2565	0.8845	0.73	0.532	0.988	0.9215	0.9265	0.832	0.929	0.932	0.927	0.989	0.7435	0.875	0.9875
SKW54	0.876	0.7155	0.859	0.8965	0.9185	0.93	0.9085	0.0	0.89	0.9205	0.871	0.77	0.899	0.9365	0.8305	0.907	0.9105	0.965	0.8385	0.929	0.7765	0.919	0.9155	0.8215	0.904	0.8715	0.8965	0.8465	0.841	0.8895	0.8335	0.8975	0.8665	0.911	0.8665	0.948	0.8525	0.8815	0.8845	0.948	0.865	0.8395	0.8605	0.9035	0.893	0.8875	0.8735	0.883	0.864	0.909	0.88	0.876	0.8685	0.9295	0.8555	0.935	0.8535	0.8715	0.9355	0.846	0.876	0.895	0.891	0.9245	0.8505	0.8915	0.958	0.93	0.8945	0.937	0.962	0.977	0.869	0.9255	0.936	0.957	0.8905	0.8985	0.8915	0.88	0.8795	0.8615	0.9055	0.9545	0.913	0.865	0.861	0.767	0.678	0.853	0.8775	0.9375	0.911	0.866	0.9665
SKW47	0.8145	0.8745	0.722	0.9395	0.8115	0.8255	0.9405	0.89	0.0	0.9245	0.905	0.556	0.75	0.8035	0.803	0.7255	0.771	0.8545	0.743	0.817	0.7605	0.7395	0.7365	0.79	0.539	0.815	0.271	0.5825	0.808	0.54	0.8885	0.883	0.7075	0.926	0.9165	0.964	0.6335	0.6365	0.9185	0.827	0.92	0.9315	0.8105	0.87	0.742	0.743	0.917	0.932	0.924	0.6485	0.9315	0.9285	0.9435	0.954	0.907	0.959	0.767	0.789	0.8205	0.7345	0.724	0.744	0.8055	0.8355	0.7495	0.7775	0.844	0.905	0.833	0.665	0.846	0.8615	0.92	0.945	0.7625	0.8435	0.9375	0.843	0.8315	0.932	0.933	0.8425	0.963	0.9105	0.7365	0.9695	0.922	0.7885	0.9515	0.9125	0.9715	0.7495	0.82	0.547	0.855
SKW63	0.924	0.879	0.923	0.918	0.9275	0.9285	0.9355	0.9205	0.9245	0.0	0.885	0.916	0.9025	0.947	0.9315	0.9395	0.923	0.9715	0.938	0.956	0.9235	0.9365	0.947	0.909	0.9195	0.9215	0.937	0.931	0.904	0.942	0.9235	0.896	0.93	0.895	0.9185	0.9735	0.967	0.954	0.888	0.9525	0.919	0.967	0.9125	0.95	0.942	0.941	0.904	0.9245	0.909	0.968	0.932	0.914	0.918	0.944	0.9115	0.9415	0.913	0.9455	0.939	0.9475	0.938	0.938	0.9205	0.949	0.919	0.91	0.948	0.918	0.919	0.991	0.965	0.973	0.907	0.956	0.9485	0.9665	0.925	0.8905	0.95	0.9255	0.9195	0.9355	0.95	0.929	0.9575	0.965	0.9165	0.9125	0.962	0.9765	0.9545	0.9545	0.934	0.907	0.9695
