Length	Count
348.0	22
358.0	11
368.0	0
378.0	9
388.0	1
398.0	3
408.0	7
418.0	5680
428.0	9
438.0	3
448.0	10335
458.0	358
468.0	0
478.0	1
488.0	46
498.0	0
--

Length	Count
334.0	18
344.0	8
354.0	0
364.0	1
374.0	0
384.0	0
394.0	2
404.0	1
414.0	17
424.0	14832
434.0	2
444.0	249
454.0	11190
464.0	0
474.0	0
484.0	3
494.0	7
504.0	0
--

Length	Count
352.0	4
362.0	1
372.0	0
382.0	2
392.0	0
402.0	0
412.0	0
422.0	832
432.0	0
442.0	4
452.0	5717
462.0	0
472.0	0
482.0	0
492.0	36
502.0	0
--

Length	Count
346.0	21
356.0	79
366.0	108
376.0	0
386.0	7
396.0	10
406.0	5
416.0	172
426.0	6670
436.0	1
446.0	10909
456.0	4028
466.0	1
476.0	0
486.0	5
496.0	1
--

Length	Count
58.0	80
68.0	207
78.0	99
88.0	290
98.0	282
108.0	277
118.0	322
128.0	569
138.0	193
148.0	350
158.0	130
168.0	389
178.0	60
188.0	1265
198.0	34
208.0	318
218.0	159
228.0	56
238.0	17
248.0	115
258.0	56
268.0	536
278.0	7
288.0	14
298.0	23
308.0	152
318.0	1
328.0	8
338.0	10
348.0	27
358.0	3
368.0	41
378.0	8
388.0	6
398.0	13
408.0	0
418.0	4814
428.0	4
438.0	1
448.0	10782
458.0	2985
468.0	11
478.0	0
488.0	151
498.0	0
--

Length	Count
347.0	3
357.0	26
367.0	3
377.0	3
387.0	4
397.0	4
407.0	0
417.0	192
427.0	4480
437.0	0
447.0	21621
457.0	5431
467.0	1
477.0	0
487.0	47
497.0	0
--

Length	Count
343.0	17
353.0	169
363.0	3
373.0	3
383.0	0
393.0	1
403.0	1
413.0	1
423.0	1142
433.0	0
443.0	20
453.0	7040
463.0	0
473.0	0
483.0	0
493.0	57
503.0	0
--

Length	Count
351.0	70
361.0	6
371.0	0
381.0	3
391.0	0
401.0	1
411.0	12
421.0	6248
431.0	9
441.0	10
451.0	40500
461.0	9
471.0	2
481.0	2
491.0	8
501.0	0
--

Length	Count
39.0	402
49.0	1145
59.0	46
69.0	108
79.0	333
89.0	88
99.0	96
109.0	65
119.0	39
129.0	133
139.0	87
149.0	44
159.0	49
169.0	23
179.0	29
189.0	14
199.0	10
209.0	2
219.0	4
229.0	1
239.0	2
249.0	25
259.0	3
269.0	0
279.0	5
289.0	2
299.0	3
309.0	0
319.0	2
329.0	1
339.0	2
349.0	0
359.0	1
369.0	4
379.0	0
389.0	4
399.0	0
409.0	1
419.0	1044
429.0	2
439.0	0
449.0	9182
459.0	300
469.0	0
479.0	0
489.0	71
499.0	0
--

Length	Count
345.0	19
355.0	9
365.0	94
375.0	4
385.0	18
395.0	4
405.0	8
415.0	13
425.0	1385
435.0	10
445.0	2229
455.0	6567
465.0	2
475.0	0
485.0	0
495.0	11
505.0	0
--

Length	Count
342.0	355
352.0	8
362.0	6
372.0	27
382.0	13
392.0	124
402.0	6
412.0	6
422.0	1896
432.0	1
442.0	9
452.0	14308
462.0	4
472.0	4
482.0	17
492.0	79
502.0	0
--

Length	Count
138.0	112
148.0	29
158.0	387
168.0	0
178.0	652
188.0	11
198.0	0
208.0	1
218.0	1
228.0	18
238.0	3
248.0	0
258.0	0
268.0	5
278.0	49
288.0	1
298.0	6
308.0	5
318.0	1
328.0	0
338.0	15
348.0	74
358.0	31
368.0	0
378.0	1
388.0	1
398.0	21
408.0	0
418.0	5126
428.0	6
438.0	0
448.0	5891
458.0	103
468.0	6
478.0	3
488.0	6
498.0	0
--

Length	Count
79.0	58
89.0	19
99.0	106
109.0	53
119.0	4
129.0	26
139.0	20
149.0	21
159.0	7
169.0	4
179.0	17
189.0	27
199.0	2
209.0	4
219.0	11
229.0	11
239.0	5
249.0	2
259.0	9
269.0	4
279.0	3
289.0	2
299.0	1
309.0	4
319.0	37
329.0	0
339.0	0
349.0	1
359.0	13
369.0	2
379.0	4
389.0	0
399.0	2
409.0	1
419.0	2478
429.0	0
439.0	2
449.0	9624
459.0	337
469.0	3
479.0	0
489.0	28
499.0	0
--

Length	Count
342.0	4
352.0	16
362.0	2
372.0	2
382.0	6
392.0	2
402.0	8
412.0	7
422.0	121
432.0	0
442.0	10
452.0	11908
462.0	1
472.0	1
482.0	2
492.0	52
502.0	0
--

Length	Count
346.0	10
356.0	1
366.0	0
376.0	0
386.0	0
396.0	1
406.0	5
416.0	29
426.0	550
436.0	2
446.0	31445
456.0	129
466.0	1
476.0	1
486.0	4
496.0	0
--

Length	Count
343.0	12
353.0	8
363.0	5
373.0	6
383.0	1
393.0	1
403.0	5
413.0	3
423.0	3075
433.0	1
443.0	58
453.0	18404
463.0	0
473.0	0
483.0	1
493.0	66
503.0	0
--

Length	Count
40.0	869
50.0	276
60.0	57
70.0	122
80.0	128
90.0	179
100.0	208
110.0	63
120.0	35
130.0	180
140.0	59
150.0	223
160.0	118
170.0	61
180.0	281
190.0	91
200.0	21
210.0	75
220.0	20
230.0	0
240.0	3
250.0	11
260.0	7
270.0	2
280.0	27
290.0	30
300.0	21
310.0	0
320.0	90
330.0	6
340.0	3
350.0	33
360.0	43
370.0	7
380.0	7
390.0	4
400.0	6
410.0	7
420.0	6096
430.0	0
440.0	6
450.0	8371
460.0	826
470.0	2
480.0	0
490.0	17
500.0	0
--

Length	Count
139.0	349
149.0	190
159.0	263
169.0	367
179.0	1683
189.0	96
199.0	194
209.0	70
219.0	8
229.0	0
239.0	63
249.0	23
259.0	30
269.0	123
279.0	180
289.0	7
299.0	63
309.0	6
319.0	0
329.0	49
339.0	0
349.0	5
359.0	34
369.0	7
379.0	0
389.0	0
399.0	9
409.0	10
419.0	11585
429.0	2
439.0	5
449.0	8799
459.0	178
469.0	0
479.0	0
489.0	49
499.0	0
--

Length	Count
321.0	25
331.0	9
341.0	9
351.0	45
361.0	22
371.0	1
381.0	8
391.0	5
401.0	0
411.0	1
421.0	2989
431.0	2
441.0	3
451.0	7689
461.0	21
471.0	1
481.0	0
491.0	39
501.0	0
--

Length	Count
373.0	52
383.0	1
393.0	11
403.0	4
413.0	2
423.0	7960
433.0	2
443.0	10
453.0	4239
463.0	5
473.0	6
483.0	6
493.0	53
503.0	0
--

Length	Count
40.0	276
50.0	23
60.0	4
70.0	3
80.0	7
90.0	3
100.0	19
110.0	33
120.0	11
130.0	14
140.0	20
150.0	8
160.0	14
170.0	23
180.0	14
190.0	8
200.0	0
210.0	12
220.0	10
230.0	10
240.0	1
250.0	27
260.0	5
270.0	4
280.0	86
290.0	35
300.0	14
310.0	1
320.0	2
330.0	0
340.0	1
350.0	106
360.0	1
370.0	11
380.0	4
390.0	10
400.0	9
410.0	20
420.0	3218
430.0	3
440.0	0
450.0	16444
460.0	2029
470.0	3
480.0	11
490.0	40
500.0	0
--

Length	Count
348.0	167
358.0	21
368.0	3
378.0	12
388.0	2
398.0	3
408.0	4
418.0	2123
428.0	18
438.0	3
448.0	15089
458.0	579
468.0	0
478.0	4
488.0	38
498.0	0
--

Length	Count
135.0	368
145.0	254
155.0	113
165.0	695
175.0	5632
185.0	251
195.0	33
205.0	74
215.0	53
225.0	27
235.0	59
245.0	82
255.0	161
265.0	489
275.0	98
285.0	69
295.0	64
305.0	12
315.0	203
325.0	40
335.0	60
345.0	70
355.0	13
365.0	606
375.0	47
385.0	20
395.0	3564
405.0	11
415.0	42
425.0	6175
435.0	2
445.0	5636
455.0	564
465.0	2
475.0	2
485.0	14
495.0	29
505.0	0
--

Length	Count
42.0	1512
52.0	377
62.0	66
72.0	225
82.0	61
92.0	105
102.0	612
112.0	16
122.0	22
132.0	140
142.0	23
152.0	35
162.0	117
172.0	506
182.0	15
192.0	36
202.0	6
212.0	0
222.0	266
232.0	14
242.0	21
252.0	5
262.0	77
272.0	12
282.0	15
292.0	13
302.0	72
312.0	24
322.0	3
332.0	0
342.0	1
352.0	27
362.0	2
372.0	2
382.0	2
392.0	15
402.0	3
412.0	8
422.0	12355
432.0	4
442.0	2
452.0	4026
462.0	3
472.0	0
482.0	0
492.0	5
502.0	0
--

Length	Count
39.0	915
49.0	151
59.0	64
69.0	90
79.0	21
89.0	44
99.0	115
109.0	45
119.0	22
129.0	14
139.0	34
149.0	23
159.0	20
169.0	27
179.0	49
189.0	13
199.0	10
209.0	14
219.0	1
229.0	2
239.0	3
249.0	2
259.0	6
269.0	9
279.0	5
289.0	7
299.0	1
309.0	5
319.0	2
329.0	9
339.0	6
349.0	6
359.0	28
369.0	7
379.0	13
389.0	2
399.0	3
409.0	9
419.0	3451
429.0	2
439.0	1
449.0	16513
459.0	286
469.0	2
479.0	0
489.0	36
499.0	0
--

Length	Count
342.0	76
352.0	104
362.0	61
372.0	101
382.0	29
392.0	1
402.0	92
412.0	107
422.0	1572
432.0	40
442.0	9
452.0	11110
462.0	19
472.0	4
482.0	0
492.0	51
502.0	0
--

Length	Count
339.0	68
349.0	0
359.0	2
369.0	2
379.0	51
389.0	9
399.0	8
409.0	4
419.0	3336
429.0	0
439.0	0
449.0	17094
459.0	334
469.0	0
479.0	0
489.0	25
499.0	0
--

Length	Count
346.0	54
356.0	79
366.0	11
376.0	10
386.0	0
396.0	7
406.0	2
416.0	31
426.0	4042
436.0	4
446.0	4573
456.0	4994
466.0	2
476.0	2
486.0	19
496.0	2
--

Length	Count
346.0	15
356.0	18
366.0	5
376.0	1
386.0	0
396.0	0
406.0	3
416.0	80
426.0	3196
436.0	0
446.0	5196
456.0	150
466.0	1
476.0	0
486.0	15
496.0	0
--

Length	Count
40.0	1440
50.0	278
60.0	89
70.0	178
80.0	31
90.0	61
100.0	373
110.0	19
120.0	25
130.0	54
140.0	22
150.0	9
160.0	338
170.0	92
180.0	270
190.0	25
200.0	6
210.0	3
220.0	23
230.0	4
240.0	1
250.0	3
260.0	35
270.0	5
280.0	15
290.0	38
300.0	1
310.0	6
320.0	25
330.0	4
340.0	4
350.0	21
360.0	13
370.0	6
380.0	2
390.0	2
400.0	23
410.0	15
420.0	4279
430.0	3
440.0	3
450.0	15586
460.0	816
470.0	0
480.0	0
490.0	44
500.0	0
--

Length	Count
140.0	77
150.0	1
160.0	25
170.0	4
180.0	1231
190.0	1
200.0	0
210.0	4
220.0	7
230.0	2
240.0	0
250.0	60
260.0	11
270.0	0
280.0	1
290.0	3
300.0	30
310.0	0
320.0	0
330.0	0
340.0	1
350.0	9
360.0	37
370.0	0
380.0	6
390.0	57
400.0	1958
410.0	0
420.0	10280
430.0	0
440.0	1
450.0	11836
460.0	512
470.0	1
480.0	6
490.0	55
500.0	0
--

Length	Count
409.0	1
419.0	26
429.0	0
439.0	2
449.0	21596
459.0	19
469.0	0
479.0	0
489.0	5
499.0	0
--

Length	Count
342.0	29
352.0	16
362.0	11
372.0	4
382.0	15
392.0	4
402.0	14
412.0	6
422.0	2944
432.0	0
442.0	26
452.0	36503
462.0	3
472.0	5
482.0	2
492.0	12
502.0	0
--

Length	Count
349.0	1
359.0	9
369.0	1
379.0	2
389.0	0
399.0	0
409.0	0
419.0	3609
429.0	1
439.0	0
449.0	5651
459.0	284
469.0	7
479.0	0
489.0	27
499.0	0
--

Length	Count
352.0	34
362.0	19
372.0	0
382.0	13
392.0	0
402.0	0
412.0	9
422.0	6040
432.0	0
442.0	5
452.0	6839
462.0	11
472.0	0
482.0	0
492.0	15
502.0	0
--

Length	Count
40.0	831
50.0	242
60.0	80
70.0	125
80.0	7
90.0	55
100.0	269
110.0	1
120.0	9
130.0	22
140.0	110
150.0	4
160.0	6
170.0	90
180.0	132
190.0	5
200.0	0
210.0	1
220.0	6
230.0	8
240.0	0
250.0	1
260.0	11
270.0	141
280.0	404
290.0	1
300.0	1
310.0	0
320.0	0
330.0	788
340.0	87
350.0	19
360.0	76
370.0	0
380.0	5
390.0	0
400.0	2
410.0	1
420.0	3790
430.0	0
440.0	3
450.0	19968
460.0	212
470.0	3
480.0	0
490.0	13
500.0	0
--

Length	Count
92.0	139
102.0	958
112.0	290
122.0	330
132.0	308
142.0	694
152.0	326
162.0	698
172.0	835
182.0	148
192.0	310
202.0	73
212.0	59
222.0	46
232.0	57
242.0	104
252.0	347
262.0	381
272.0	255
282.0	275
292.0	202
302.0	434
312.0	201
322.0	122
332.0	129
342.0	141
352.0	158
362.0	254
372.0	99
382.0	96
392.0	77
402.0	100
412.0	49
422.0	2579
432.0	97
442.0	35
452.0	16539
462.0	23
472.0	16
482.0	4
492.0	79
502.0	0
--

Length	Count
352.0	5
362.0	2
372.0	0
382.0	2
392.0	3
402.0	19
412.0	0
422.0	5046
432.0	3
442.0	20
452.0	31620
462.0	4
472.0	0
482.0	0
492.0	66
502.0	0
--

Length	Count
343.0	1
353.0	88
363.0	0
373.0	18
383.0	0
393.0	318
403.0	0
413.0	2
423.0	5082
433.0	0
443.0	45
453.0	15993
463.0	0
473.0	0
483.0	0
493.0	56
503.0	0
--

Length	Count
352.0	17
362.0	10
372.0	0
382.0	89
392.0	37
402.0	2
412.0	4
422.0	1049
432.0	13
442.0	18
452.0	18405
462.0	2
472.0	1
482.0	0
492.0	40
502.0	0
--

Length	Count
349.0	8
359.0	6
369.0	1
379.0	3
389.0	0
399.0	1
409.0	2
419.0	2858
429.0	1
439.0	1
449.0	7298
459.0	462
469.0	4
479.0	0
489.0	26
499.0	0
--

Length	Count
346.0	8
356.0	0
366.0	18
376.0	2
386.0	0
396.0	5
406.0	4
416.0	46
426.0	4469
436.0	2
446.0	27374
456.0	1341
466.0	5
476.0	1
486.0	11
496.0	0
--

Length	Count
346.0	11
356.0	58
366.0	26
376.0	0
386.0	0
396.0	0
406.0	1
416.0	58
426.0	923
436.0	2
446.0	11978
456.0	130
466.0	1
476.0	1
486.0	12
496.0	20
--

Length	Count
267.0	71
277.0	69
287.0	101
297.0	155
307.0	259
317.0	5
327.0	69
337.0	126
347.0	111
357.0	229
367.0	15
377.0	15
387.0	52
397.0	9
407.0	15
417.0	369
427.0	7895
437.0	11
447.0	10859
457.0	1079
467.0	3
477.0	1
487.0	38
497.0	0
--

Length	Count
342.0	10
352.0	54
362.0	1
372.0	3
382.0	10
392.0	3
402.0	0
412.0	2
422.0	4014
432.0	1
442.0	5
452.0	10946
462.0	6
472.0	7
482.0	0
492.0	29
502.0	0
--

Length	Count
322.0	11
332.0	11
342.0	6
352.0	56
362.0	3
372.0	9
382.0	17
392.0	2
402.0	3
412.0	3
422.0	3080
432.0	1
442.0	13
452.0	7729
462.0	11
472.0	1
482.0	0
492.0	36
502.0	0
--

Length	Count
327.0	20
337.0	3
347.0	7
357.0	87
367.0	49
377.0	6
387.0	21
397.0	6
407.0	0
417.0	284
427.0	6101
437.0	0
447.0	13153
457.0	5563
467.0	3
477.0	2
487.0	6
497.0	0
--

Length	Count
344.0	8
354.0	30
364.0	3
374.0	0
384.0	3
394.0	3
404.0	4
414.0	4
424.0	2660
434.0	0
444.0	482
454.0	18471
464.0	1
474.0	0
484.0	2
494.0	41
504.0	0
--

Length	Count
346.0	9
356.0	11
366.0	0
376.0	5
386.0	109
396.0	1
406.0	3
416.0	22
426.0	739
436.0	1
446.0	7012
456.0	225
466.0	0
476.0	0
486.0	7
496.0	1
--

Length	Count
321.0	116
331.0	5
341.0	4
